Incident_Date,Incident_id,id,link
october-20-2023,ispt0392a,338,https://airwars.org/civilian-casualties/ispt0392a-october-20-2023/
october-20-2023,ispt0401,339,https://airwars.org/civilian-casualties/ispt0401-october-20-2023/
october-20-2023,ispt0405,340,https://airwars.org/civilian-casualties/ispt0405-october-20-2023/
october-20-2023,ispt0412,341,https://airwars.org/civilian-casualties/ispt0412-october-20-2023/
october-20-2023,ispt0406,342,https://airwars.org/civilian-casualties/ispt0406-october-20-2023/
october-20-2023,ispt0407,343,https://airwars.org/civilian-casualties/ispt0407-october-20-2023/
october-20-2023,ispt0392b,344,https://airwars.org/civilian-casualties/ispt0392b-october-20-2023/
october-20-2023,ispt0392c,345,https://airwars.org/civilian-casualties/ispt0392c-october-20-2023/
october-20-2023,ispt0415c,346,https://airwars.org/civilian-casualties/ispt0415c-october-20-2023/
october-21-2023,ispt0434,347,https://airwars.org/civilian-casualties/ispt0434-october-21-2023/
october-21-2023,ispt0429,348,https://airwars.org/civilian-casualties/ispt0429-october-21-2023/
october-21-2023,ispt0447,349,https://airwars.org/civilian-casualties/ispt0447-october-21-2023/
october-21-2023,ispt0438,350,https://airwars.org/civilian-casualties/ispt0438-october-21-2023/
october-21-2023,ispt0439b,351,https://airwars.org/civilian-casualties/ispt0439b-october-21-2023/
october-21-2023,ispt0428,352,https://airwars.org/civilian-casualties/ispt0428-october-21-2023/
october-21-2023,ispt0434b,353,https://airwars.org/civilian-casualties/ispt0434b-october-21-2023/
october-21-2023,ispt0441,354,https://airwars.org/civilian-casualties/ispt0441-october-21-2023/
october-21-2023,ispt0442,355,https://airwars.org/civilian-casualties/ispt0442-october-21-2023/
october-21-2023,ispt0424,356,https://airwars.org/civilian-casualties/ispt0424-october-21-2023/
october-21-2023,ispt0427,357,https://airwars.org/civilian-casualties/ispt0427-october-21-2023/
october-21-2023,ispt0445,358,https://airwars.org/civilian-casualties/ispt0445-october-21-2023/
october-21-2023,ispt0446,359,https://airwars.org/civilian-casualties/ispt0446-october-21-2023/
october-21-2023,ispt0437,360,https://airwars.org/civilian-casualties/ispt0437-october-21-2023/
october-21-2023,ispt0439,361,https://airwars.org/civilian-casualties/ispt0439-october-21-2023/
october-21-2023,ispt0439a,362,https://airwars.org/civilian-casualties/ispt0439a-october-21-2023/
october-21-2023,ispt0420,363,https://airwars.org/civilian-casualties/ispt0420-october-21-2023/
october-21-2023,ispt0421,364,https://airwars.org/civilian-casualties/ispt0421-october-21-2023/
october-21-2023,ispt0422a,365,https://airwars.org/civilian-casualties/ispt0422a-october-21-2023/
october-21-2023,ispt0422c,366,https://airwars.org/civilian-casualties/ispt0422c-october-21-2023/
october-21-2023,ispt0422d,367,https://airwars.org/civilian-casualties/ispt0422d-october-21-2023/
october-21-2023,ispt0423,368,https://airwars.org/civilian-casualties/ispt0423-october-21-2023/
october-21-2023,ispt0417,369,https://airwars.org/civilian-casualties/ispt0417-october-21-2023/
october-21-2023,ispt0418,370,https://airwars.org/civilian-casualties/ispt0418-october-21-2023/
october-21-2023,ispt0422b,371,https://airwars.org/civilian-casualties/ispt0422b-october-21-2023/
october-21-2023,ispt0419,372,https://airwars.org/civilian-casualties/ispt0419-october-21-2023/
october-21-2023,ispt0431,373,https://airwars.org/civilian-casualties/ispt0431-october-21-2023/
october-21-2023,ispt0433,374,https://airwars.org/civilian-casualties/ispt0433-october-21-2023/
october-21-2023,ispt0440,375,https://airwars.org/civilian-casualties/ispt0440-october-21-2023/
october-21-2023,ispt0443,376,https://airwars.org/civilian-casualties/ispt0443-october-21-2023/
october-22-2023,ispt0474,377,https://airwars.org/civilian-casualties/ispt0474-october-22-2023/
october-22-2023,ispt0466,378,https://airwars.org/civilian-casualties/ispt0466-october-22-2023/
october-22-2023,ispt0467,379,https://airwars.org/civilian-casualties/ispt0467-october-22-2023/
october-22-2023,ispt0488,380,https://airwars.org/civilian-casualties/ispt0488-october-22-2023/
october-22-2023,ispt0463,381,https://airwars.org/civilian-casualties/ispt0463-october-22-2023/
october-22-2023,ispt0457,382,https://airwars.org/civilian-casualties/ispt0457-october-22-2023/
october-22-2023,ispt0458,383,https://airwars.org/civilian-casualties/ispt0458-october-22-2023/
october-22-2023,ispt0459,384,https://airwars.org/civilian-casualties/ispt0459-october-22-2023/
october-22-2023,ispt0482,385,https://airwars.org/civilian-casualties/ispt0482-october-22-2023/
october-22-2023,ispt0449,386,https://airwars.org/civilian-casualties/ispt0449-october-22-2023/
october-22-2023,ispt0450,387,https://airwars.org/civilian-casualties/ispt0450-october-22-2023/
october-22-2023,ispt0451,388,https://airwars.org/civilian-casualties/ispt0451-october-22-2023/
october-22-2023,ispt0452,389,https://airwars.org/civilian-casualties/ispt0452-october-22-2023/
october-22-2023,ispt0453,390,https://airwars.org/civilian-casualties/ispt0453-october-22-2023/
october-22-2023,ispt0455,391,https://airwars.org/civilian-casualties/ispt0455-october-22-2023/
october-22-2023,ispt0456,392,https://airwars.org/civilian-casualties/ispt0456-october-22-2023/
october-22-2023,ispt0461,393,https://airwars.org/civilian-casualties/ispt0461-october-22-2023/
october-22-2023,ispt0462,394,https://airwars.org/civilian-casualties/ispt0462-october-22-2023/
october-22-2023,ispt0476,395,https://airwars.org/civilian-casualties/ispt0476-october-22-2023/
october-22-2023,ispt0464,396,https://airwars.org/civilian-casualties/ispt0464-october-22-2023/
october-22-2023,ispt0454,397,https://airwars.org/civilian-casualties/ispt0454-october-22-2023/
october-22-2023,ispt0479,398,https://airwars.org/civilian-casualties/ispt0479-october-22-2023/
october-22-2023,ispt0480,399,https://airwars.org/civilian-casualties/ispt0480-october-22-2023/
october-22-2023,ispt0468,400,https://airwars.org/civilian-casualties/ispt0468-october-22-2023/
october-22-2023,ispt0481,401,https://airwars.org/civilian-casualties/ispt0481-october-22-2023/
october-22-2023,ispt0469,402,https://airwars.org/civilian-casualties/ispt0469-october-22-2023/
october-22-2023,ispt0470,403,https://airwars.org/civilian-casualties/ispt0470-october-22-2023/
october-22-2023,ispt0483,404,https://airwars.org/civilian-casualties/ispt0483-october-22-2023/
october-22-2023,ispt0471,405,https://airwars.org/civilian-casualties/ispt0471-october-22-2023/
october-22-2023,ispt0491,406,https://airwars.org/civilian-casualties/ispt0491-october-22-2023/
october-23-2023,ispt0521,407,https://airwars.org/civilian-casualties/ispt0521-october-23-2023/
october-23-2023,ispt0517,408,https://airwars.org/civilian-casualties/ispt0517-october-23-2023/
october-23-2023,ispt0523,409,https://airwars.org/civilian-casualties/ispt0523-october-23-2023/
october-23-2023,ispt0515,410,https://airwars.org/civilian-casualties/ispt0515-october-23-2023/
october-23-2023,ispt0499,411,https://airwars.org/civilian-casualties/ispt0499-october-23-2023/
october-23-2023,ispt0519,412,https://airwars.org/civilian-casualties/ispt0519-october-23-2023/
october-23-2023,ispt0520,413,https://airwars.org/civilian-casualties/ispt0520-october-23-2023/
october-23-2023,ispt0516,414,https://airwars.org/civilian-casualties/ispt0516-october-23-2023/
october-23-2023,ispt0531,415,https://airwars.org/civilian-casualties/ispt0531-october-23-2023/
october-23-2023,ispt0532,416,https://airwars.org/civilian-casualties/ispt0532-october-23-2023/
october-23-2023,ispt0535,417,https://airwars.org/civilian-casualties/ispt0535-october-23-2023/
october-23-2023,ispt0506,418,https://airwars.org/civilian-casualties/ispt0506-october-23-2023/
october-23-2023,ispt0507,419,https://airwars.org/civilian-casualties/ispt0507-october-23-2023/
october-23-2023,ispt0518,420,https://airwars.org/civilian-casualties/ispt0518-october-23-2023/
october-23-2023,ispt0536e,421,https://airwars.org/civilian-casualties/ispt0536e-october-23-2023/
october-23-2023,ispt0524,422,https://airwars.org/civilian-casualties/ispt0524-october-23-2023/
october-23-2023,ispt0575,423,https://airwars.org/civilian-casualties/ispt0575-october-23-2023/
october-23-2023,ispt0497,424,https://airwars.org/civilian-casualties/ispt0497-october-23-2023/
october-23-2023,ispt0489,425,https://airwars.org/civilian-casualties/ispt0489-october-23-2023/
october-23-2023,ispt0498,426,https://airwars.org/civilian-casualties/ispt0498-october-23-2023/
october-23-2023,ispt0530,427,https://airwars.org/civilian-casualties/ispt0530-october-23-2023/
october-23-2023,ispt0500,428,https://airwars.org/civilian-casualties/ispt0500-october-23-2023/
october-23-2023,ispt0495,429,https://airwars.org/civilian-casualties/ispt0495-october-23-2023/
october-23-2023,ispt0496,430,https://airwars.org/civilian-casualties/ispt0496-october-23-2023/
october-23-2023,ispt0490,431,https://airwars.org/civilian-casualties/ispt0490-october-23-2023/
october-23-2023,ispt0513,432,https://airwars.org/civilian-casualties/ispt0513-october-23-2023/
october-23-2023,ispt0134g,433,https://airwars.org/civilian-casualties/ispt0134g-october-23-2023/
october-23-2023,ispt0504,434,https://airwars.org/civilian-casualties/ispt0504-october-23-2023/
october-23-2023,ispt0492,435,https://airwars.org/civilian-casualties/ispt0492-october-23-2023/
october-23-2023,ispt0494,436,https://airwars.org/civilian-casualties/ispt0494-october-23-2023/
october-24-2023,ispt0580,437,https://airwars.org/civilian-casualties/ispt0580-october-24-2023/
october-24-2023,ispt0583a,438,https://airwars.org/civilian-casualties/ispt0583a-october-24-2023/
october-24-2023,ispt0617,439,https://airwars.org/civilian-casualties/ispt0617-october-24-2023/
october-24-2023,ispt0578,440,https://airwars.org/civilian-casualties/ispt0578-october-24-2023/
october-24-2023,ispt0579,441,https://airwars.org/civilian-casualties/ispt0579-october-24-2023/
october-24-2023,ispt0583b,442,https://airwars.org/civilian-casualties/ispt0583b-october-24-2023/
october-24-2023,ispt0548,443,https://airwars.org/civilian-casualties/ispt0548-october-24-2023/
october-24-2023,ispt0552,444,https://airwars.org/civilian-casualties/ispt0552-october-24-2023/
october-24-2023,ispt0570,445,https://airwars.org/civilian-casualties/ispt0570-october-24-2023/
october-24-2023,ispt0571,446,https://airwars.org/civilian-casualties/ispt0571-october-24-2023/
october-24-2023,ispt0572,447,https://airwars.org/civilian-casualties/ispt0572-october-24-2023/
october-24-2023,ispt0573,448,https://airwars.org/civilian-casualties/ispt0573-october-24-2023/
